,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Description,Wind_Speed,Country,Date
0,mandalgovi,45.76,106.27,4.680000000000007,58,0,clear sky,8.7,MN,2020-05-10 02:25:48
1,hilo,19.73,-155.09,27.0,57,90,overcast clouds,2.6,US,2020-05-10 02:22:00
2,busselton,-33.65,115.33,16.670000000000016,45,40,scattered clouds,0.93,AU,2020-05-10 02:25:49
3,bredasdorp,-34.53,20.04,14.0,93,0,clear sky,1.0,ZA,2020-05-10 02:25:49
4,rocha,-34.48,-54.33,10.720000000000027,85,0,clear sky,3.35,UY,2020-05-10 02:22:39
5,banjar,-8.19,114.97,29.0,89,40,scattered clouds,4.6,ID,2020-05-10 02:25:50
6,wajid,3.81,43.25,23.32000000000005,90,100,moderate rain,6.88,SO,2020-05-10 02:19:47
7,punta arenas,-53.15,-70.92,6.0,93,90,overcast clouds,2.1,CL,2020-05-10 02:22:40
8,saraza,8.74,117.78,31.210000000000036,63,98,overcast clouds,2.42,PH,2020-05-10 02:22:41
9,darhan,49.49,105.92,10.189999999999998,46,39,scattered clouds,3.96,MN,2020-05-10 02:22:41
10,carnarvon,-24.87,113.63,24.650000000000034,38,100,overcast clouds,4.7,AU,2020-05-10 02:22:41
11,lagoa,39.05,-27.98,15.680000000000007,74,91,overcast clouds,14.45,PT,2020-05-10 02:22:42
12,yulara,-25.24,130.99,17.0,36,100,overcast clouds,7.7,AU,2020-05-10 02:22:42
13,ushuaia,-54.8,-68.3,6.0,81,9,clear sky,0.4,AR,2020-05-10 02:22:43
14,esperance,-33.87,121.9,16.0,51,0,clear sky,8.7,AU,2020-05-10 02:22:43
15,vila franca do campo,37.72,-25.43,17.0,93,75,broken clouds,9.3,PT,2020-05-10 02:22:43
16,roald,62.58,6.13,3.330000000000041,64,100,snow,9.3,NO,2020-05-10 02:22:45
17,rikitea,-23.12,-134.97,24.25,68,57,broken clouds,1.52,PF,2020-05-10 02:22:45
18,port augusta,-32.5,137.77,16.0,59,0,clear sky,3.1,AU,2020-05-10 02:22:45
19,hermanus,-34.42,19.23,15.0,75,0,clear sky,2.78,ZA,2020-05-10 02:22:46
20,harper,4.38,-7.72,26.689999999999998,87,100,overcast clouds,4.61,LR,2020-05-10 02:22:46
21,midland,32.0,-102.08,24.0,27,1,clear sky,5.7,US,2020-05-10 02:22:00
22,avon lake,41.51,-82.03,9.439999999999998,39,75,broken clouds,3.1,US,2020-05-10 02:22:47
23,bantul,-7.89,110.33,28.0,78,20,few clouds,4.1,ID,2020-05-10 02:22:47
24,christchurch,-43.53,172.63,15.0,77,5,clear sky,2.6,NZ,2020-05-10 02:20:43
25,east london,-33.02,27.91,18.230000000000018,55,1,clear sky,2.62,ZA,2020-05-10 02:22:48
26,mampong,7.06,-1.4,22.680000000000007,99,97,light rain,2.78,GH,2020-05-10 02:19:55
27,mount isa,-20.73,139.5,25.0,23,0,clear sky,5.1,AU,2020-05-10 02:19:40
28,touros,-5.2,-35.46,23.0,94,20,few clouds,1.5,BR,2020-05-10 02:22:50
29,muisne,0.6,-80.03,26.0,85,48,scattered clouds,3.25,EC,2020-05-10 02:22:50
30,kodiak,57.79,-152.41,8.0,75,90,overcast clouds,5.1,US,2020-05-10 02:22:51
31,albany,-35.02,117.89,15.0,54,9,clear sky,4.6,AU,2020-05-10 02:22:51
32,kahului,20.89,-156.47,26.0,65,90,overcast clouds,8.2,US,2020-05-10 02:19:41
33,new norfolk,-42.78,147.06,12.220000000000027,62,50,scattered clouds,0.89,AU,2020-05-10 02:22:52
34,marsh harbour,26.54,-77.06,25.360000000000014,72,100,overcast clouds,4.18,BS,2020-05-10 02:22:52
35,cabo san lucas,22.89,-109.91,22.78000000000003,64,20,few clouds,4.1,MX,2020-05-10 02:22:52
36,aldan,58.6,125.39,3.5,71,35,scattered clouds,1.48,RU,2020-05-10 02:22:53
37,pisco,-13.7,-76.22,19.0,88,42,scattered clouds,5.7,PE,2020-05-10 02:22:15
38,dhidhdhoo,6.88,73.1,27.600000000000023,83,100,moderate rain,3.21,MV,2020-05-10 02:22:54
39,mookane,-23.69,26.66,15.180000000000007,70,0,clear sky,3.47,BW,2020-05-10 02:20:00
40,cape town,-33.93,18.42,14.0,100,75,fog,2.1,ZA,2020-05-10 02:20:16
41,tura,64.28,100.25,3.1200000000000045,76,38,scattered clouds,7.6,RU,2020-05-10 02:22:55
42,bandarbeyla,9.49,50.81,27.160000000000025,77,59,broken clouds,2.87,SO,2020-05-10 02:22:56
