sample_size,population_full,methodology,end_date,Approve,Disapprove
1000,a,Online,8/21/2020,39.0,57.0
791,rv,Online,8/21/2020,39.0,60.0
2000,rv,Online,8/20/2020,42.0,47.0
1000,a,Online,8/20/2020,40.0,55.0
796,rv,Online,8/20/2020,42.0,55.0
1500,lv,IVR/Online,8/20/2020,51.0,47.0
1100,a,Live Phone,8/20/2020,38.0,59.0
995,rv,Live Phone,8/20/2020,38.0,59.0
1000,a,Online,8/19/2020,43.0,54.0
801,rv,Online,8/19/2020,43.0,55.0
1500,lv,IVR/Online,8/19/2020,51.0,48.0
1000,a,Online,8/18/2020,44.0,52.0
794,rv,Online,8/18/2020,43.0,55.0
1500,lv,IVR/Online,8/18/2020,47.0,51.0
1500,a,Online,8/18/2020,41.0,53.0
1246,rv,Online,8/18/2020,43.0,54.0
1391,a,Online,8/18/2020,39.0,56.0
1179,rv,Online,8/18/2020,42.0,56.0
1000,lv,Online,8/18/2020,40.0,58.0
1000,a,Online,8/17/2020,40.0,55.0
809,rv,Online,8/17/2020,42.0,56.0
1000,a,Online,8/17/2020,39.0,53.0
728,rv,Online,8/17/2020,42.0,54.0
2200,a,Online,8/17/2020,39.0,55.0
1500,lv,IVR/Online,8/17/2020,48.0,50.0
1994,rv,Online,8/16/2020,39.0,59.0
1500,lv,IVR/Online,8/16/2020,47.0,51.0
34269,a,Online,8/16/2020,45.0,53.0
1529,a,Online,8/15/2020,39.0,56.0
1000,a,Online,8/15/2020,41.0,54.0
781,rv,Online,8/15/2020,43.0,56.0
2200,a,Online,8/15/2020,41.0,54.0
1108,a,Live Phone,8/15/2020,42.0,54.0
987,rv,Live Phone,8/15/2020,43.0,54.0
1001,a,Live Phone,8/15/2020,43.0,55.0
868,rv,Live Phone,8/15/2020,42.0,57.0
1000,a,Online,8/14/2020,42.0,52.0
722,rv,Online,8/14/2020,45.0,52.0
3735,rv,Online,8/14/2020,40.0,58.0
1000,a,Online,8/13/2020,40.0,56.0
748,rv,Online,8/13/2020,41.0,58.0
1500,lv,IVR/Online,8/13/2020,47.0,52.0
1990,rv,Online,8/12/2020,39.0,60.0
2000,rv,Online,8/12/2020,40.0,43.0
1000,a,Online,8/12/2020,41.0,53.0
752,rv,Online,8/12/2020,43.0,55.0
1500,lv,IVR/Online,8/12/2020,47.0,52.0
1000,rv,Live Phone,8/12/2020,44.0,54.0
900,rv,Live Phone,8/12/2020,44.0,53.0
2200,a,Online,8/12/2020,40.0,56.0
1031,a,Live Phone,8/12/2020,42.0,55.0
1215,a,Online,8/11/2020,40.0,55.0
1034,rv,Online,8/11/2020,41.0,57.0
1000,a,Online,8/11/2020,41.0,53.0
827,rv,Online,8/11/2020,43.0,57.0
1500,lv,IVR/Online,8/11/2020,48.0,51.0
1500,a,Online,8/11/2020,43.0,53.0
1208,rv,Online,8/11/2020,44.0,54.0
2200,a,Online,8/11/2020,41.0,55.0
2828,rv,Online,8/11/2020,45.0,55.0
1261,a,Live Phone,8/11/2020,39.0,54.0
1118,rv,Live Phone,8/11/2020,39.0,55.0
1983,rv,Online,8/10/2020,41.0,58.0
1000,a,Online,8/10/2020,42.0,55.0
798,rv,Online,8/10/2020,43.0,55.0
1000,a,Online,8/10/2020,41.0,54.0
744,rv,Online,8/10/2020,41.0,56.0
1500,lv,IVR/Online,8/10/2020,49.0,51.0
868,a,Live Phone,8/10/2020,41.0,53.0
785,rv,Live Phone,8/10/2020,42.0,53.0
1419,rv,Online,8/10/2020,43.0,56.0
2200,a,Online,8/10/2020,38.0,57.0
2200,a,Online,8/10/2020,38.0,58.0
2143,lv,Online,8/9/2020,46.0,54.0
1000,a,Online,8/9/2020,43.0,50.0
745,rv,Online,8/9/2020,44.0,53.0
1500,lv,IVR/Online,8/9/2020,48.0,51.0
44601,a,Online,8/9/2020,44.0,54.0
2200,a,Online,8/8/2020,39.0,57.0
1000,a,Online,8/7/2020,42.0,54.0
797,rv,Online,8/7/2020,42.0,56.0
2200,a,Online,8/7/2020,38.0,57.0
1000,a,Online,8/6/2020,41.0,52.0
748,rv,Online,8/6/2020,42.0,55.0
1500,lv,IVR/Online,8/6/2020,48.0,51.0
1000,lv,Live Phone,8/6/2020,41.93,55.01
1000,a,Online,8/5/2020,40.0,54.0
758,rv,Online,8/5/2020,40.0,58.0
1500,lv,IVR/Online,8/5/2020,46.0,52.0
1200,a,Online,8/4/2020,43.0,54.0
1115,a,Online,8/4/2020,39.0,57.0
964,rv,Online,8/4/2020,40.0,59.0
1000,a,Online,8/4/2020,44.0,51.0
789,rv,Online,8/4/2020,44.0,54.0
1500,lv,IVR/Online,8/4/2020,48.0,50.0
1500,a,Online,8/4/2020,40.0,55.0
1229,rv,Online,8/4/2020,42.0,56.0
1000,a,Online,8/3/2020,40.0,54.0
731,rv,Online,8/3/2020,40.0,56.0
1000,a,Online,8/3/2020,43.0,52.0
772,rv,Online,8/3/2020,41.0,58.0
2201,a,Online,8/3/2020,38.0,58.0
1500,lv,IVR/Online,8/3/2020,49.0,49.0
1407,rv,Online,8/3/2020,39.0,59.0
1991,rv,Online,8/2/2020,40.0,58.0
2200,a,Online,8/2/2020,40.0,55.0
1000,a,Online,8/2/2020,42.0,53.0
730,rv,Online,8/2/2020,43.0,56.0
1500,lv,IVR/Online,8/2/2020,51.0,47.0
2201,a,Online,8/2/2020,39.0,57.0
47190,a,Online,8/2/2020,45.0,54.0
11001,a,Online,8/2/2020,38.0,59.0
1000,a,Online,7/31/2020,43.0,52.0
756,rv,Online,7/31/2020,43.0,55.0
964,lv,IVR/Online,7/30/2020,45.35,50.65
1000,a,Online,7/30/2020,42.0,53.0
793,rv,Online,7/30/2020,42.0,57.0
1500,lv,IVR/Online,7/30/2020,50.0,48.0
1506,a,Online,7/30/2020,38.0,54.0
1845,rv,Online,7/29/2020,43.0,53.0
1000,a,Online,7/29/2020,43.0,54.0
803,rv,Online,7/29/2020,44.0,55.0
1500,lv,IVR/Online,7/29/2020,48.0,51.0
1000,a,Online,7/29/2020,40.0,54.0
829,rv,Online,7/29/2020,42.0,56.0
1115,a,Online,7/28/2020,38.0,57.4
947,rv,Online,7/28/2020,39.8,58.4
1658,a,Live Phone,7/28/2020,42.0,57.0
1500,lv,IVR/Online,7/28/2020,45.0,54.0
1500,a,Online,7/28/2020,43.0,50.0
1260,rv,Online,7/28/2020,44.0,53.0
1160,rv,Online,7/28/2020,41.0,52.0
1212,a,Online,7/28/2020,39.0,54.0
1039,a,Online,7/28/2020,41.7,58.3
914,lv,Online,7/28/2020,46.6,53.3
1000,a,Online,7/27/2020,42.0,53.0
778,rv,Online,7/27/2020,42.0,56.0
1000,a,Online,7/27/2020,44.0,50.0
722,rv,Online,7/27/2020,44.0,53.0
1500,lv,IVR/Online,7/27/2020,45.0,54.0
1039,lv,Online,7/26/2020,44.0,56.0
1997,rv,Online,7/26/2020,40.0,57.0
2842,rv,Online,7/26/2020,44.0,56.0
1994,rv,Online,7/26/2020,36.0,61.0
1000,a,Online,7/26/2020,42.0,52.0
742,rv,Online,7/26/2020,44.0,54.0
2200,a,Online,7/26/2020,36.0,60.0
1500,lv,IVR/Online,7/26/2020,46.0,52.0
46450,a,Online,7/26/2020,44.0,55.0
1200,rv,IVR/Online/Text,7/25/2020,40.0,57.0
1000,a,Online,7/24/2020,42.0,52.0
818,rv,Online,7/24/2020,43.0,55.0
1000,a,Online,7/23/2020,39.0,56.0
764,rv,Online,7/23/2020,41.0,57.0
1500,lv,IVR/Online,7/23/2020,49.0,49.0
1932,rv,Online,7/23/2020,44.0,56.0
1516,lv,Online,7/23/2020,47.0,51.0
1007,a,Live Phone,7/23/2020,41.0,56.0
1000,a,Online,7/22/2020,41.0,52.0
746,rv,Online,7/22/2020,42.0,56.0
1500,lv,IVR/Online,7/22/2020,49.0,49.0
2200,a,Online,7/22/2020,42.0,55.0
1000,lv,Online,7/22/2020,37.0,60.0
1000,a,Online,7/21/2020,38.0,57.0
780,rv,Online,7/21/2020,42.0,56.0
1500,lv,IVR/Online,7/21/2020,49.0,50.0
1500,a,Online,7/21/2020,42.0,53.0
1222,rv,Online,7/21/2020,42.0,56.0
1000,a,Online,7/21/2020,42.0,53.0
754,rv,Online,7/21/2020,41.0,56.0
4430,a,Online,7/21/2020,38.0,57.0
3744,rv,Online,7/21/2020,40.0,58.0
1100,a,Live Phone,7/20/2020,36.0,60.0
994,rv,Live Phone,7/20/2020,36.0,60.0
1500,lv,IVR/Online,7/20/2020,48.0,51.0
1015,rv,Online,7/20/2020,38.0,61.0
1057,a,Live Phone/Online,7/20/2020,38.0,61.0
1000,a,Online,7/19/2020,40.0,54.0
772,rv,Online,7/19/2020,39.0,57.0
2200,a,Online,7/19/2020,39.0,57.0
1991,rv,Online,7/19/2020,40.0,57.0
