sample_size,population_full,methodology,candidate_name,candidate_party,pct
1860,lv,Online,Joseph R. Biden Jr.,DEM,49.0
1860,lv,Online,Donald Trump,REP,39.0
1860,lv,Online,Jo Jorgensen,LIB,1.0
1860,lv,Online,Howie Hawkins,GRE,1.0
672,lv,Online,Joseph R. Biden Jr.,DEM,49.0
672,lv,Online,Donald Trump,REP,39.0
672,lv,Online,Jo Jorgensen,LIB,1.0
672,lv,Online,Howie Hawkins,GRE,1.0
672,lv,Online,Kanye West,IND,1.0
1246,rv,Online,Joseph R. Biden Jr.,DEM,50.0
1246,rv,Online,Donald Trump,REP,40.0
856,lv,Online,Joseph R. Biden Jr.,DEM,47.0
856,lv,Online,Donald Trump,REP,38.0
856,lv,Online,Jo Jorgensen,LIB,2.0
856,lv,Online,Howie Hawkins,GRE,1.0
856,lv,Online,Kanye West,IND,2.0
812,lv,Online,Joseph R. Biden Jr.,DEM,50.0
812,lv,Online,Donald Trump,REP,38.0
812,lv,Online,Jo Jorgensen,LIB,1.0
812,lv,Online,Howie Hawkins,GRE,1.0
1141,lv,IVR,Joseph R. Biden Jr.,DEM,46.9
1141,lv,IVR,Donald Trump,REP,46.5
1141,lv,IVR,Jo Jorgensen,LIB,3.7
2840,rv,Online,Joseph R. Biden Jr.,DEM,46.0
2840,rv,Online,Donald Trump,REP,38.0
1391,a,Online,Joseph R. Biden Jr.,DEM,45.0
1391,a,Online,Donald Trump,REP,36.0
1179,rv,Online,Joseph R. Biden Jr.,DEM,48.0
1179,rv,Online,Donald Trump,REP,40.0
1000,lv,Online,Joseph R. Biden Jr.,DEM,53.0
1000,lv,Online,Donald Trump,REP,39.0
1000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
1000,lv,Online,Donald Trump,REP,38.0
1000,lv,Online,Jo Jorgensen,LIB,2.0
1000,lv,Online,Howie Hawkins,GRE,1.0
1000,lv,Online,Kanye West,IND,1.0
2500,lv,IVR/Online,Joseph R. Biden Jr.,DEM,48.0
2500,lv,IVR/Online,Donald Trump,REP,44.0
967,lv,Online,Joseph R. Biden Jr.,DEM,44.0
967,lv,Online,Donald Trump,REP,46.0
967,lv,Online,Jo Jorgensen,LIB,2.0
967,lv,Online,Howie Hawkins,GRE,0.0
1006,lv,Online,Joseph R. Biden Jr.,DEM,48.0
1006,lv,Online,Donald Trump,REP,41.0
1006,lv,Online,Jo Jorgensen,LIB,1.0
1006,lv,Online,Howie Hawkins,GRE,1.0
1006,lv,Online,Kanye West,IND,1.0
1042,rv,Online,Joseph R. Biden Jr.,DEM,51.0
1042,rv,Online,Donald Trump,REP,43.0
631,rv,Online,Joseph R. Biden Jr.,DEM,49.0
631,rv,Online,Donald Trump,REP,46.0
637,rv,Online,Joseph R. Biden Jr.,DEM,47.0
637,rv,Online,Donald Trump,REP,47.0
617,rv,Online,Joseph R. Biden Jr.,DEM,51.0
617,rv,Online,Donald Trump,REP,44.0
754,rv,Online,Joseph R. Biden Jr.,DEM,51.0
754,rv,Online,Donald Trump,REP,45.0
416,lv,Live Phone,Joseph R. Biden Jr.,DEM,49.0
416,lv,Live Phone,Donald Trump,REP,45.0
1280,lv,Online,Joseph R. Biden Jr.,DEM,49.0
1280,lv,Online,Donald Trump,REP,41.0
1280,lv,Online,Jo Jorgensen,LIB,1.0
1280,lv,Online,Howie Hawkins,GRE,1.0
11809,lv,Online,Joseph R. Biden Jr.,DEM,51.0
11809,lv,Online,Donald Trump,REP,43.0
1001,a,Online,Joseph R. Biden Jr.,DEM,51.0
1001,a,Online,Donald Trump,REP,35.0
788,lv,Online,Joseph R. Biden Jr.,DEM,49.0
788,lv,Online,Donald Trump,REP,43.0
1158,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1158,rv,Online,Donald Trump,REP,38.0
1027,lv,Online,Joseph R. Biden Jr.,DEM,50.0
1027,lv,Online,Donald Trump,REP,41.0
500,lv,IVR/Live Phone,Joseph R. Biden Jr.,DEM,44.5
500,lv,IVR/Live Phone,Donald Trump,REP,47.4
500,lv,IVR/Live Phone,Jo Jorgensen,LIB,4.4
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,43.0
987,rv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
987,rv,Live Phone,Donald Trump,REP,46.0
1001,a,Live Phone,Joseph R. Biden Jr.,DEM,53.0
1001,a,Live Phone,Donald Trump,REP,41.0
868,rv,Live Phone,Joseph R. Biden Jr.,DEM,53.0
868,rv,Live Phone,Donald Trump,REP,41.0
707,lv,Live Phone,Joseph R. Biden Jr.,DEM,54.0
707,lv,Live Phone,Donald Trump,REP,44.0
1143,lv,Online,Joseph R. Biden Jr.,DEM,50.0
1143,lv,Online,Donald Trump,REP,41.0
2152,lv,Online,Joseph R. Biden Jr.,DEM,52.0
2152,lv,Online,Donald Trump,REP,42.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
2823,rv,Online,Joseph R. Biden Jr.,DEM,45.0
2823,rv,Online,Donald Trump,REP,39.0
3735,rv,Online,Joseph R. Biden Jr.,DEM,49.0
3735,rv,Online,Donald Trump,REP,39.0
1255,rv,IVR/Online,Joseph R. Biden Jr.,DEM,46.5
1255,rv,IVR/Online,Donald Trump,REP,46.9
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
700,lv,Live Phone/Online,Joseph R. Biden Jr.,DEM,47.0
700,lv,Live Phone/Online,Donald Trump,REP,45.0
500,lv,Live Phone,Joseph R. Biden Jr.,DEM,52.0
500,lv,Live Phone,Donald Trump,REP,33.0
846,rv,Online,Joseph R. Biden Jr.,DEM,40.5
846,rv,Online,Donald Trump,REP,47.5
