question_id,poll_id,state,politician_id,politician,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,start_date,end_date,sponsor_candidate,tracking,created_at,notes,url,source,yes,no
127664,68159,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,1000,a,a,Online,8/19/2020,8/21/2020,,,8/21/2020 19:02,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,538,39,57
127665,68159,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,791,rv,rv,Online,8/19/2020,8/21/2020,,,8/21/2020 19:02,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,538,39,60
127666,68160,,11,Donald Trump,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,2000,rv,rv,Online,8/19/2020,8/20/2020,,,8/22/2020 8:52,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-august-20/,538,42,47
127634,68140,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,1000,a,a,Online,8/18/2020,8/20/2020,,,8/20/2020 13:53,,https://docs.cdn.yougov.com/aqnwd6muai/tabs_Trump_Tweets_20200818.pdf,538,40,55
127635,68140,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,796,rv,rv,Online,8/18/2020,8/20/2020,,,8/20/2020 13:54,,https://docs.cdn.yougov.com/aqnwd6muai/tabs_Trump_Tweets_20200818.pdf,538,42,55
127640,68143,,11,Donald Trump,399,Rasmussen Reports/Pulse Opinion Research,1430,Liberty Nation,Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,lv,IVR/Online,8/18/2020,8/20/2020,,TRUE,8/21/2020 9:24,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,538,51,47
127638,68142,,11,Donald Trump,23,American Research Group,,,American Research Group,9,American Research Group,B,1100,a,a,Live Phone,8/17/2020,8/20/2020,,,8/21/2020 8:23,,https://americanresearchgroup.com/economy/,538,38,59
127639,68142,,11,Donald Trump,23,American Research Group,,,American Research Group,9,American Research Group,B,995,rv,rv,Live Phone,8/17/2020,8/20/2020,,,8/21/2020 8:23,,https://americanresearchgroup.com/economy/,538,38,59
127605,68127,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,1000,a,a,Online,8/17/2020,8/19/2020,,,8/19/2020 14:39,,https://docs.cdn.yougov.com/aum0zwbt9t/tabs_Trump_Tweets_20200817.pdf,538,43,54
127606,68127,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,801,rv,rv,Online,8/17/2020,8/19/2020,,,8/19/2020 14:39,,https://docs.cdn.yougov.com/aum0zwbt9t/tabs_Trump_Tweets_20200817.pdf,538,43,55
127618,68132,,11,Donald Trump,399,Rasmussen Reports/Pulse Opinion Research,1430,Liberty Nation,Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,lv,IVR/Online,8/17/2020,8/19/2020,,TRUE,8/20/2020 9:24,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,538,51,48
127574,68111,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,1000,a,a,Online,8/16/2020,8/18/2020,,,8/18/2020 14:01,,https://docs.cdn.yougov.com/qi0iwzmz4o/tabs_Trump_Tweets_20200816.pdf,538,44,52
127575,68111,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,794,rv,rv,Online,8/16/2020,8/18/2020,,,8/18/2020 14:01,,https://docs.cdn.yougov.com/qi0iwzmz4o/tabs_Trump_Tweets_20200816.pdf,538,43,55
127588,68119,,11,Donald Trump,399,Rasmussen Reports/Pulse Opinion Research,1430,Liberty Nation,Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,lv,IVR/Online,8/16/2020,8/18/2020,,TRUE,8/19/2020 9:25,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,538,47,51
127589,68120,,11,Donald Trump,568,YouGov,352,Economist,YouGov,391,YouGov,B,1500,a,a,Online,8/16/2020,8/18/2020,,,8/19/2020 10:06,,https://docs.cdn.yougov.com/c6n58wb53l/econTabReport.pdf,538,41,53
127590,68120,,11,Donald Trump,568,YouGov,352,Economist,YouGov,391,YouGov,B,1246,rv,rv,Online,8/16/2020,8/18/2020,,,8/19/2020 10:06,,https://docs.cdn.yougov.com/c6n58wb53l/econTabReport.pdf,538,43,54
127600,68123,,11,Donald Trump,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1391,a,a,Online,8/14/2020,8/18/2020,,,8/19/2020 12:13,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/2020_reuters_tracking_-_core_political_presidential_approval_tracker_08_19_2020.pdf,538,39,56
127609,68123,,11,Donald Trump,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1179,rv,rv,Online,8/14/2020,8/18/2020,,,8/19/2020 16:55,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/2020_reuters_tracking_-_core_political_presidential_approval_tracker_08_19_2020.pdf,538,42,56
127625,68136,,11,Donald Trump,1302,Echelon Insights,,,Echelon Insights,407,Echelon Insights,,1000,lv,lv,Online,8/14/2020,8/18/2020,,,8/20/2020 12:05,,https://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/Omnibus_Release1_deck_August20201.pdf,538,40,58
127531,68084,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,1000,a,a,Online,8/15/2020,8/17/2020,,,8/17/2020 11:03,,https://docs.cdn.yougov.com/6cvra71tx3/tabs_Trump_Tweets_20200815.pdf,538,40,55
127532,68084,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,809,rv,rv,Online,8/15/2020,8/17/2020,,,8/17/2020 11:03,,https://docs.cdn.yougov.com/6cvra71tx3/tabs_Trump_Tweets_20200815.pdf,538,42,56
127529,68083,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,1000,a,a,Online,8/14/2020,8/17/2020,,,8/17/2020 9:55,,https://docs.cdn.yougov.com/g6tc8dlpdg/tabs_Trump_Tweets_20200814.pdf,538,39,53
127530,68083,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,728,rv,rv,Online,8/14/2020,8/17/2020,,,8/17/2020 9:55,,https://docs.cdn.yougov.com/g6tc8dlpdg/tabs_Trump_Tweets_20200814.pdf,538,42,54
127563,68100,,11,Donald Trump,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,2200,a,a,Online,8/14/2020,8/17/2020,,,8/18/2020 5:59,,https://assets.morningconsult.com/wp-uploads/2020/08/17130704/200822_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf,538,39,55
127570,68107,,11,Donald Trump,399,Rasmussen Reports/Pulse Opinion Research,1430,Liberty Nation,Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,lv,IVR/Online,8/13/2020,8/17/2020,,TRUE,8/18/2020 9:24,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,538,48,50
127557,68097,,11,Donald Trump,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B/C,1994,rv,rv,Online,8/14/2020,8/16/2020,,,8/17/2020 18:29,,https://www.politico.com/f/?id=00000173-fe50-d110-af73-ff501e7f0000,538,39,59
127525,68081,,11,Donald Trump,399,Rasmussen Reports/Pulse Opinion Research,1430,Liberty Nation,Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,lv,IVR/Online,8/12/2020,8/16/2020,,TRUE,8/17/2020 9:24,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,538,47,51
127561,68099,,11,Donald Trump,1193,SurveyMonkey,132,NBC News,SurveyMonkey,324,SurveyMonkey,D-,34269,a,a,Online,8/10/2020,8/16/2020,,,8/18/2020 5:58,,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug16/,538,45,53
127543,68086,,11,Donald Trump,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B,1529,a,a,Online,8/14/2020,8/15/2020,,,8/17/2020 17:04,,https://docs.cdn.yougov.com/k2ohl2zeiw/20200817_yahoo_election_toplines.pdf,538,39,56
127498,68074,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,1000,a,a,Online,8/13/2020,8/15/2020,,,8/15/2020 12:36,,https://docs.cdn.yougov.com/a098wi8603/tabs_Trump_Tweets_20200813.pdf,538,41,54
127499,68074,,11,Donald Trump,568,YouGov,,,YouGov,391,YouGov,B,781,rv,rv,Online,8/13/2020,8/15/2020,,,8/15/2020 12:36,,https://docs.cdn.yougov.com/a098wi8603/tabs_Trump_Tweets_20200813.pdf,538,43,56
127642,68145,,11,Donald Trump,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,2200,a,a,Online,8/13/2020,8/15/2020,,,8/21/2020 14:14,,https://assets.morningconsult.com/wp-uploads/2020/08/21140937/200858_crosstabs_SPORTS_VICES_Adults_v1_LM-1.pdf,538,41,54
127509,68078,,11,Donald Trump,1361,SSRS,143,CNN,CNN/SSRS,297,SSRS,B/C,1108,a,a,Live Phone,8/12/2020,8/15/2020,,,8/16/2020 21:45,,https://cdn.cnn.com/cnn/2020/images/08/16/rel8a.-.2020.pdf,538,42,54
127510,68078,,11,Donald Trump,1361,SSRS,143,CNN,CNN/SSRS,297,SSRS,B/C,987,rv,rv,Live Phone,8/12/2020,8/15/2020,,,8/16/2020 21:45,,https://cdn.cnn.com/cnn/2020/images/08/16/rel8a.-.2020.pdf,538,43,54
127514,68079,,11,Donald Trump,11,ABC News/The Washington Post,,,ABC News/The Washington Post,3,ABC News/The Washington Post,A+,1001,a,a,Live Phone,8/12/2020,8/15/2020,,,8/17/2020 6:02,,https://www.washingtonpost.com/context/washington-post-abc-news-poll-aug-12-15-2020/b16f1e30-c98f-4b77-ba12-9d4f0baddceb/,538,43,55
127515,68079,,11,Donald Trump,11,ABC News/The Washington Post,,,ABC News/The Washington Post,3,ABC News/The Washington Post,A+,868,rv,rv,Live Phone,8/12/2020,8/15/2020,,,8/17/2020 6:02,,https://docs.google.com/spreadsheets/d/1UaCN0NU6BcIfkxVWYnkvSsGFQmAVBvbZ_iIrjFGgPAw/edit,538,42,57
